************************Header***************************

************************Result***************************
Directory:     ['\\\\130.60.131.134\\studi\\Filme\\frueher_Film', '\\\\130.60.131.134\\studi\\Filme\\mittlere_Filme', '\\\\130.60.131.134\\studi\\Filme\\spaete_Filme']
Total Folders: 470


*******************File Information**********************
n-Correct      n-Multiple     n-Incorrect    n-Not-Started  n-Total        
166            54             62             188            470            


************************Details***************************
Legend
PR: Pre-Naming Nomeclature
MS: Missing Segmentation
AL: Everything OK


         Status       n-Movies         n-ELAN    n-Filemaker     n-Segment.      n-Folders     n-Indexing    n-Timestamp    n-PreNaming       n-Others               Path 
          OK-MS              1              1              1              0              1              0            497              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3104_Das_Wachsfigurenkabinett_1923
          OK-MS              1              1              1              0              1              0            308              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3109_Posle_Smerti_1915
          OK-MS              1              1              1              0              1             25              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3112_Ali_Baba_et_les_Quarante_Voleurs_1902
          OK-MS              1              1              1              0              1              0            522              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3118_Salome_1922
          OK-MS              1              1              1              0              1             52              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3146_Superstition_Andalouse_1912
          OK-MS              1              1              1              0              1             10              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3156_Les_Oeufs_De_Paques_1907
          OK-MS              1              1              1              0              1              0             29              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3157_Loie_Fuller_1905
          OK-MS              1              1              1              0              1              0             14              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3159_Un_Drame_Au_Fond_De_La_Mer_1901
          OK-MS              1              1              1              0              1              0            102              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3161_The_Love_Charm_1928
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3165_LAtlantide_1921
          OK-MS              1              1              1              0              1             54              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3180_La_Legende_Du_Fantome_1908
   ***Incorrect              1              1              1              0              1              0              0              0             13               \\130.60.131.134\studi\Filme\frueher_Film\3182_Le_Roi_Des_Dollars_1905
          OK-MS              1              1              1              0              1              0             34              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3186_LAlbum_Merveilleux_1905
          OK-MS              1              1              1              0              1             29              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\31_La_Poule_Aux_Oeufs_Dor_1905
          OK-MS              1              1              1              0              1              0             22              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3220_La_Fee_Printemps_1906
          OK-MS              1              1              1              0              1              0             41              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3229_Japonaiseries_1904
          OK-MS              1              1              1              0              1              0             33              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3241_La_Sorciere_Noire_1907
          OK-MS              1              1              1              0              1              0            144              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3248_La_Belle_Au_Bois_Dormant_1908
          OK-MS              1              1              1              0              1              0             18              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3249_Valse_Excentrique_1903
   ***Incorrect              1              1              1              0              1              0              0              0            719               \\130.60.131.134\studi\Filme\frueher_Film\3250_Der_Golem_oder_wie_er_in_die_Welt_kam_1920
          OK-MS              1              1              1              0              1              0            286              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3370_Inferno_1911
   ***Incorrect              1              1              1              0              1              0              0              0             14               \\130.60.131.134\studi\Filme\frueher_Film\3380_Ballet_Des_Sylphides_1902
          OK-MS              1              1              1              0              1              0            325              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3381_The_Wrath_Of_The_Gods_1914
          OK-MS              1              1              1              0              1              0            425              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3382_The_Dragon_Painter_1919
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3384_Elstree_Calling_1930
          OK-MS              1              1              1              0              1              0             33              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3385_KiRiKi_Acrobates_Japonais_1907
   ***Incorrect              1              1              1              0              1              0              0              0             46               \\130.60.131.134\studi\Filme\frueher_Film\3399_Amour_Desclave_1907
          OK-MS              1              1              1              0              1              0            420              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3401_Terje_Vigen_1917
          OK-MS              1              1              1              0              1              0             17              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3403_Fruits_1912
   ***Incorrect              1              1              1              1              1              0              0              0            508               \\130.60.131.134\studi\Filme\frueher_Film\3428_Feu_Mathias_Pascal_1924
      *Multiple              2              1              1              0              2              0           1309              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3449_Herr_Arnes_Pengar_1919
          OK-MS              1              1              1              0              1              0            185              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3457_Zapatas_Bande_1914
          OK-MS              1              1              1              0              1              0            636              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3462_The_General_1926
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3463_The_Informer_1929
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3466_A_Tolonc_1915
          OK-MS              1              1              1              0              1              0             84              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3469_Jeanne_DArc_1900
          OK-MS              1              1              1              0              1              0             22              0              0               \\130.60.131.134\studi\Filme\frueher_Film\3470_Le_Voyage_De_Gulliver_A_Lilliput_E_t_Chez_Les_Geants_1902
   ***Incorrect              1              1              1              0              1              0              0              0            347               \\130.60.131.134\studi\Filme\frueher_Film\350_Nerven_1919
          OK-MS              1              1              1              0              1              0             23              0              0               \\130.60.131.134\studi\Filme\frueher_Film\362_Metamorphose_Du_Papillon_1904
          OK-MS              1              1              1              0              1            607              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\364_Cyrano_De_Bergerac_1923
          OK-MS              1              1              1              0              1              0            134              0              0               \\130.60.131.134\studi\Filme\frueher_Film\37_Le_Palais_Des_Mille_Et_Une_Nuits_1905
          OK-MS              1              1              1              0              1              0            819              0              0               \\130.60.131.134\studi\Filme\frueher_Film\39_Redskin_1929
          OK-PN              1              1              1              1              1              0              0             51              0               \\130.60.131.134\studi\Filme\frueher_Film\409_Maerchenwald_1919
          OK-MS              1              1              1              0              1              0             95              0              0               \\130.60.131.134\studi\Filme\frueher_Film\411_The_Epic_of_Everest_1924
          OK-MS              1              1              1              0              1              0            504              0              0               \\130.60.131.134\studi\Filme\frueher_Film\412_The_Great_White_Silence_1924
          OK-MS              1              1              1              0              1            379              0              0              0               \\130.60.131.134\studi\Filme\frueher_Film\47_The_Red_Lantern_1919
